FGRAMPH1_01G00001	4912
FGRAMPH1_01G00003	775
FGRAMPH1_01G00005	600
FGRAMPH1_01G00007	731
FGRAMPH1_01G00009	1590
FGRAMPH1_01G00011	333
FGRAMPH1_01G00013	3408
FGRAMPH1_01G00015	357
FGRAMPH1_01G00017	2109
FGRAMPH1_01G00019	590
FGRAMPH1_01G00021	1377
FGRAMPH1_01G00023	666
FGRAMPH1_01G00025	1312
FGRAMPH1_01G00027	726
FGRAMPH1_01G00029	460
FGRAMPH1_01G00031	528
FGRAMPH1_01G00033	851
FGRAMPH1_01G00035	534
FGRAMPH1_01G00037	2199
FGRAMPH1_01G00039	1923
FGRAMPH1_01G00041	3383
FGRAMPH1_01G00043	311
FGRAMPH1_01G00045	288
FGRAMPH1_01G00047	1209
FGRAMPH1_01G00049	2190
FGRAMPH1_01G00051	1206
FGRAMPH1_01G00053	1646
FGRAMPH1_01G00055	2049
FGRAMPH1_01G00057	514
FGRAMPH1_01G00059	351
FGRAMPH1_01G00061	980
FGRAMPH1_01G00063	766
FGRAMPH1_01G00065	2026
FGRAMPH1_01G00067	1557
FGRAMPH1_01G00069	1659
FGRAMPH1_01G00071	1269
FGRAMPH1_01G00073	1199
FGRAMPH1_01G00075	1386
FGRAMPH1_01G00077	1893
FGRAMPH1_01G00079	324
FGRAMPH1_01G00081	1353
FGRAMPH1_01G00083	1695
FGRAMPH1_01G00085	1483
FGRAMPH1_01G00087	1751
FGRAMPH1_01G00089	3519
FGRAMPH1_01G00091	1111
FGRAMPH1_01G00093	1746
FGRAMPH1_01G00095	792
FGRAMPH1_01G00097	1257
FGRAMPH1_01G00099	1985
FGRAMPH1_01G00101	1530
FGRAMPH1_01G00103	1518
FGRAMPH1_01G00105	888
FGRAMPH1_01G00107	294
FGRAMPH1_01G00109	1067
FGRAMPH1_01G00111	1105
FGRAMPH1_01G00113	503
FGRAMPH1_01G00115	4271
FGRAMPH1_01G00117	837
FGRAMPH1_01G00119	910
FGRAMPH1_01G00121	1748
FGRAMPH1_01G00123	1548
FGRAMPH1_01G00125	2264
FGRAMPH1_01G00127	5040
FGRAMPH1_01G00129	1350
FGRAMPH1_01G00131	6441
FGRAMPH1_01G00133	1205
FGRAMPH1_01G00135	1002
FGRAMPH1_01G00137	2350
FGRAMPH1_01G00139	3095
FGRAMPH1_01G00141	1017
FGRAMPH1_01G00143	24004
FGRAMPH1_01G00145	1035
FGRAMPH1_01G00147	969
FGRAMPH1_01G00149	849
FGRAMPH1_01G00151	5067
FGRAMPH1_01G00153	1658
FGRAMPH1_01G00155	1261
FGRAMPH1_01G00157	1506
FGRAMPH1_01G00159	585
FGRAMPH1_01G00161	957
FGRAMPH1_01G00163	1248
FGRAMPH1_01G00165	1207
FGRAMPH1_01G00167	1146
FGRAMPH1_01G00169	930
FGRAMPH1_01G00171	9406
FGRAMPH1_01G00173	561
FGRAMPH1_01G00175	204
FGRAMPH1_01G00177	1485
FGRAMPH1_01G00179	420
FGRAMPH1_01G00181	384
FGRAMPH1_01G00183	2545
FGRAMPH1_01G00185	1602
FGRAMPH1_01G00187	2277
FGRAMPH1_01G00189	819
FGRAMPH1_01G00191	1666
FGRAMPH1_01G00193	1673
FGRAMPH1_01G00195	1329
FGRAMPH1_01G00197	457
FGRAMPH1_01G00199	378
FGRAMPH1_01G00201	458
FGRAMPH1_01G00203	1686
FGRAMPH1_01G00205	1434
FGRAMPH1_01G00207	572
FGRAMPH1_01G00209	1101
FGRAMPH1_01G00211	860
FGRAMPH1_01G00213	1249
FGRAMPH1_01G00215	1761
FGRAMPH1_01G00217	2275
FGRAMPH1_01G00219	2034
FGRAMPH1_01G00221	1638
FGRAMPH1_01G00223	1755
FGRAMPH1_01G00225	1205
