clone1_deb	chu:CHU_0158	71.16	267	77	0	2	802	545	811	5e-108	 392
clone1_deb	chu:CHU_0158	100.00	10	0	0	810	839	821	830	5e-108	24.3
clone1_deb	chu:CHU_0158	32.76	116	71	1	221	547	18	133	1e-09	66.6
clone1_deb	chu:CHU_0158	40.74	54	31	1	8	166	888	941	2e-04	49.7
clone1_deb	bth:BT_0578	69.06	265	82	0	8	802	546	810	2e-101	 372
clone1_deb	bth:BT_0578	33.94	109	65	2	224	529	12	120	3e-08	62.4
clone1_deb	bth:BT_0578	40.91	44	26	0	8	139	887	930	0.003	45.4
clone1_deb	bth:BT_0578	35.00	40	26	0	671	790	411	450	2.0	36.2
clone1_deb	bfs:BF2634	68.68	265	83	0	8	802	541	805	6e-100	 366
clone1_deb	bfs:BF2634	33.94	109	65	2	224	529	7	115	3e-08	62.4
clone1_deb	bfs:BF2634	38.33	60	36	1	8	184	882	941	9e-04	47.4
clone1_deb	bfr:BF2612	68.68	265	83	0	8	802	541	805	6e-100	 366
clone1_deb	bfr:BF2612	33.94	109	65	2	224	529	7	115	3e-08	62.4
clone1_deb	bfr:BF2612	38.33	60	36	1	8	184	882	941	9e-04	47.4
clone1_deb	fjo:Fjoh_4509	66.29	267	90	0	2	802	542	808	8e-100	 364
clone1_deb	fjo:Fjoh_4509	100.00	10	0	0	810	839	818	827	8e-100	24.3
clone1_deb	fjo:Fjoh_4509	37.84	111	61	3	221	529	7	116	5e-10	68.2
clone1_deb	fjo:Fjoh_4509	42.37	59	33	1	8	181	885	943	1e-05	53.5
clone1_fin	chu:CHU_2742	73.06	193	52	0	824	246	211	403	2e-80	 301
clone1_fin	aas:Aasi_0256	73.58	193	51	0	824	246	212	404	2e-79	 298
clone1_fin	fps:FP2060	72.02	193	54	0	824	246	217	409	4e-79	 297
clone1_fin	gfo:GFO_2771	67.36	193	63	0	824	246	218	410	1e-75	 285
clone1_fin	fjo:Fjoh_1807	69.43	193	59	0	824	246	218	410	7e-75	 283
clone2_deb	bmy:Bm1_05690	30.95	42	29	0	591	716	313	354	1.0	37.0
clone2_deb	aag:AaeL_AAEL011568	36.62	71	39	1	589	783	314	384	3.0	35.4
clone2_deb	uma:UM00238.1	32.00	75	48	2	492	707	1208	1281	3.0	35.4
clone2_deb	tva:TVAG_339270	25.33	75	54	2	471	689	1666	1740	5.1	34.7
clone2_deb	tva:TVAG_339270	28.79	66	46	1	495	689	2192	2257	8.7	33.9
clone2_deb	tva:TVAG_339270	28.79	66	46	1	495	689	2502	2567	8.7	33.9
clone2_deb	tva:TVAG_339270	28.79	66	46	1	495	689	2770	2835	8.7	33.9
clone2_deb	tva:TVAG_339270	28.79	66	46	1	495	689	3059	3124	8.7	33.9
clone2_deb	ddi:DDB_0233840	33.90	59	33	1	510	668	1132	1190	5.1	34.7
clone2_fin	dme:Dmel_CG9351	37.29	59	35	2	47	217	732	785	0.31	38.9
clone2_fin	dya:Dyak_GE26288	39.22	51	29	2	71	217	743	788	1.2	37.0
clone2_fin	dse:Dsec_GM24121	39.22	51	29	2	71	217	743	788	1.2	37.0
clone3_deb	glo:Glov_1066	27.74	137	96	2	578	177	690	825	1e-04	50.1
clone3_deb	bte:BTH_I1443	27.36	212	154	4	767	132	566	748	0.004	45.1
clone3_deb	syp:SYNPCC7002_F0008	30.77	130	81	4	578	216	785	897	0.011	43.5
clone3_deb	mth:MTH472	25.45	220	162	6	767	114	582	762	0.052	41.2
clone3_deb	rba:RB5340	31.71	123	79	5	539	186	613	727	0.052	41.2
clone3_fin	rrs:RoseRS_1175	72.17	115	32	0	150	494	8	122	6e-30	 134
clone3_fin	cth:Cthe_2913	68.70	115	36	0	150	494	8	122	2e-29	 132
clone3_fin	rca:Rcas_4016	71.30	115	33	0	150	494	8	122	2e-29	 132
clone3_fin	cdi:DIP0486	67.83	115	37	0	150	494	8	122	3e-28	 128
clone3_fin	dol:Dole_0718	68.70	115	36	0	150	494	8	122	3e-28	 128
clone4_deb	cnb:CNBE3220	37.97	79	47	4	305	535	297	371	5e-07	58.2
clone4_deb	cne:CNE03220	37.97	79	47	4	305	535	296	370	5e-07	58.2
clone4_deb	cho:Chro.80300	34.62	78	51	2	311	544	325	395	4e-06	55.1
clone4_deb	cpv:cgd8_2560	34.62	78	51	2	311	544	334	404	4e-06	55.1
clone4_deb	dpkn:PK14_0985w	36.51	63	40	2	311	499	295	354	5e-06	54.7
clone4_fin	fps:FP1365	34.05	185	103	7	564	67	120	304	1e-14	82.8
clone4_fin	fps:FP1365	30.48	187	110	8	561	61	71	256	5e-10	67.8
clone4_fin	bvu:BVU_3713	18.99	158	128	0	534	61	21	178	2e-05	52.8
clone4_fin	bvu:BVU_3713	20.24	168	134	1	528	25	2	168	5e-05	51.2
clone4_fin	bvu:BVU_3713	16.39	183	153	1	573	25	54	234	0.004	44.7
clone4_fin	bvu:BVU_3713	16.07	168	141	0	528	25	89	256	0.064	40.8
clone4_fin	bvu:BVU_0962	18.99	158	128	0	534	61	21	178	2e-05	52.8
clone4_fin	bvu:BVU_0962	20.24	168	134	1	528	25	2	168	5e-05	51.2
clone4_fin	bvu:BVU_0962	16.39	183	153	1	573	25	54	234	0.004	44.7
clone4_fin	bvu:BVU_0962	16.07	168	141	0	528	25	89	256	0.064	40.8
clone4_fin	bfs:BF1517	19.05	147	119	0	465	25	22	168	0.010	43.5
clone4_fin	bfs:BF1517	18.25	126	103	0	402	25	21	146	0.19	39.3
clone4_fin	bfs:BF1517	17.14	140	116	0	510	91	51	190	0.92	37.0
clone4_fin	cdf:CD2751	19.83	121	97	0	402	40	353	473	0.017	42.7
clone4_fin	cdf:CD2751	19.47	113	91	0	363	25	344	456	0.14	39.7
clone4_fin	cdf:CD2751	17.52	137	113	1	576	166	341	475	0.92	37.0
clone5_deb	aav:Aave_2478	80.85	282	54	0	3	848	25	306	3e-105	 384
clone5_deb	vei:Veis_3818	80.14	282	56	0	3	848	25	306	4e-105	 384
clone5_deb	ajs:Ajs_2073	80.14	282	56	0	3	848	25	306	4e-104	 380
clone5_deb	rfr:Rfer_2561	80.92	283	54	0	3	851	25	307	2e-103	 378
clone5_deb	pna:Pnap_2804	80.50	282	55	0	3	848	25	306	6e-102	 373
clone5_fin	mfa:Mfla_2452	56.99	93	40	0	298	576	1	93	9e-22	 107
clone5_fin	reh:PHG280	56.12	98	43	0	292	585	1	98	1e-21	 106
clone5_fin	neu:NE1075	55.21	96	43	0	298	585	1	96	4e-21	 104
clone5_fin	pol:Bpro_5352	55.79	95	42	0	301	585	4	98	4e-21	 104
clone5_fin	bvi:Bcep1808_7238	56.25	96	42	0	298	585	1	96	6e-21	 104
clone6_deb	ace:Acel_1500	29.72	249	156	4	691	2	1	249	6e-22	 107
clone6_deb	sgr:SGR_1770	29.24	236	160	4	688	2	13	244	3e-21	 105
clone6_deb	sma:SAV2509	27.85	237	163	3	688	2	41	276	3e-20	 101
clone6_deb	fra:Francci3_3541	31.36	236	155	4	688	2	12	245	4e-20	 101
clone6_deb	sco:SCO5751	26.27	236	167	2	688	2	31	265	2e-19	99.0
clone6_fin	nca:Noca_3237	61.08	203	79	0	168	776	9	211	2e-69	 265
clone6_fin	sgr:SGR_1858	60.89	202	79	0	171	776	6	207	4e-68	 260
clone6_fin	sco:SCO5645	61.39	202	78	0	171	776	6	207	6e-67	 256
clone6_fin	sma:SAV2621	61.39	202	78	0	171	776	6	207	8e-67	 256
clone6_fin	mab:MAB_3175c	61.58	203	78	1	168	776	8	209	2e-65	 251
clone7_deb	pfl:PFL_4214	30.23	129	86	3	681	307	211	336	6e-06	54.3
clone7_deb	amc:MADE_00973	24.06	133	100	2	591	196	698	829	2e-05	52.4
clone7_deb	mmw:Mmwyl1_2866	29.81	104	69	2	570	271	223	326	1e-04	50.1
clone7_deb	dtps:1727	29.21	89	62	1	585	322	350	438	1e-04	49.7
clone7_deb	pat:Patl_3218	34.92	63	40	2	552	367	751	811	2e-04	49.3
clone7_fin	msm:MSMEG_2056	66.67	258	81	1	800	42	88	345	6e-84	 313
clone7_fin	mjl:Mjls_1543	65.50	258	84	1	800	42	88	345	1e-83	 312
clone7_fin	mkm:Mkms_1597	65.50	258	84	1	800	42	88	345	1e-83	 312
